Title,Family,Synonyms,Common Names,Origin,Growth Habit,Earliest Record,Tool Used For Assessment,Predictive Tool Score,North,Central,South,Assessment Dates,Counties,Questionnaires
Cryptostegia madagascariensis,Apocynaceae,,Madagascar rubbervine,Africa,Vine,1954,Status Assessment,12,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2004Aug 18, 2014",6,
Cupaniopsis anacardioides,Sapindaceae,,Carrotwood,"Asia Tropical, Australasia",Tree,1955,,N/A,Prohibited,Prohibited,Prohibited,,15,
Cuphea hyssopifolia,Lythraceae,,False heather,"Central America, North America-Mexico, South America","Shrub, Subshrub",1940,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 24, 2016",4,
Cuscuta japonica,Convolvulaceae,,Japanese dodder,"Asia Temperate, Asia Tropical","Forb/Herb, Vine",1943,,22,High Invasion Risk,High Invasion Risk,High Invasion Risk,10-Jul-17,1,
Cyamopsis tetragonoloba,Fabaceae,Cyamopsis psoraloides,"Guar, clusterbean",Unknown,Forb/Herb,0,Predictive Tool,-5,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,27-Apr-17,0,
Cycas revoluta,Cycadaceae,,"Japanese sago-palm, King sago, Sago-palm",Asia Temperate,"Shrub, Tree",1984,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 24, 2016",5,
Cyclanthera pedata,Cucurbitaceae,,Cyclanthera,South America,Vine,1951,Status Assessment,-2,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2007Jun 25, 2018",0,
Cymbopogon citratus,Poaceae,,Lemongrass,South America,Graminoid,1993,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 24, 2016",1,
Cynodon dactylon,Poaceae,,Bermudagrass,Unknown,Graminoid,1896,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2005Jan 1, 2012",55,
Cyperus alopecuroides,Cyperaceae,"Chlorocyperus alopecuroides, Juncellus alopecuroides",Foxtail flatsedge,Australasia,Graminoid,,,N/A,,,,,0,
Cyperus entrerianus,Cyperaceae,,"Deeprooted sedge, Woodrush flatsedge","Central America, North America-Mexico, South America",Graminoid,1974,Predictive Tool,22,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-10,12,
Cyperus involucratus,Cyperaceae,,Umbrella Plant,"Africa, Asia Temperate",Graminoid,1909,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2006Jan 1, 2012May 15, 2015",21,
Cyperus pilosus,Cyperaceae,,Fuzzy flatsedge,"Asia Temperate, Asia Tropical, Australasia, Pacific",Graminoid,1983,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 24, 2016",3,
Cyperus prolifer,Cyperaceae,,Dwarf papyrus,Africa,Graminoid,1992,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2004May 15, 2015",9,
Cyrtomium falcatum,Dryopteridaceae,,Japanese netvein holly fern,"Asia Temperate, Asia Tropical",Forb/Herb,1934,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-06,10,
Dactylis glomerata,Poaceae,,"Orchardgrass, Cocksfoot","Africa, Asia Temperate, Asia Tropical, Europe",Graminoid,1966,,N/A,,,,,5,
Dactyloctenium aegyptium,Poaceae,,"Crow's-foot Grass, Durban Crowfootgrass, Egyptian Grass","Africa, Asia Temperate, Asia Tropical",Graminoid,1842,Status Assessment,N/A,Caution,Invasive (No Uses),Invasive (No Uses),"Jan 1, 2007Jan 1, 2012Dec 19, 2016",59,
Dais cotinifolia,Thymelaeaceae,,"Pompon tree, Torch tree",Africa,"Shrub, Tree",2013,,N/A,,,,,0,
Dalbergia sissoo,Fabaceae,,"Indian Rosewood, Sissoo","Asia Temperate, Asia Tropical",Tree,1927,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2006Jan 1, 2012May 28, 2015",11,
Dalechampia scandens,Euphorbiaceae,,Spurge creeper,"Africa, Asia Temperate, Central America, North America-Mexico, South America","Forb/Herb, Vine",2000,Predictive Tool,9,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-13,2,
Daucus carota,Apiaceae,,Queen Anne's lace,"Africa, Asia Temperate, Europe",Forb/Herb,1969,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 1, 2016",13,
Delonix regia,Fabaceae,,"Flamboyant, Royal Poinciana",Africa,Tree,1932,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2005Jan 1, 2012Dec 12, 2016",6,
Dendrocalamus asper,Poaceae,,Sweet bamboo,Asia Tropical,Graminoid,,Predictive Tool,1,Evaluate Further,Evaluate Further,Evaluate Further,4-Nov-16,0,
Dendrocalamus giganteus,Poaceae,"Sinocalamus giganteus, Bambusa gigantea","Giant bamboo, long zhu","Asia Temperate, Asia Tropical",Graminoid,,Predictive Tool,-4,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,20-Mar-14,0,
Dendrocalamus hamiltonii,Poaceae,Sinocalamus hamiltonii,"Tama bamboo, maggar bamboo, Pao, Wah","Asia Temperate, Asia Tropical",Graminoid,,Predictive Tool,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,4-Nov-16,0,
Dendrocalamus strictus,Poaceae,"Bambusa stricta, Dendrocalamus sericeus","Male bamboo, Calcutta bamboo, solid bamboo, bans, bambu-grande",Asia Tropical,Graminoid,,Predictive Tool,1,Evaluate Further,Evaluate Further,Evaluate Further,20-Mar-14,0,
Deparia petersenii,Athyriaceae,,Japanese false spleenwort,"Asia Temperate, Asia Tropical, Australasia",Forb/Herb,1957,Status Assessment,N/A,Not a problem species (documented),Not a problem species (documented),Not a problem species (un-documented),1-Jan-07,10,
Desmodium tortuosum,Fabaceae,,Dixie ticktrefoil,"Central America, North America-Mexico, South America","Forb/Herb, Subshrub",1913,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,56,
Dianella ensifolia,Hemerocallidaceae,,"Cerulean flaxlily, Dianella lily, flax-lily","Africa, Asia Temperate, Asia Tropical",Forb/Herb,1977,Status Assessment,N/A,Invasive (No Uses),Invasive (No Uses),Invasive (No Uses),"Jan 1, 2007Jan 1, 2011Jul 7, 2016",4,
Dichondra micrantha,Convolvulaceae,,"Asian ponysfoot, Smallflowered ponysfoot","Central America, North America-Mexico, South America",Forb/Herb,1995,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 8, 2016",15,
Dichrostachys cinerea ,Fabaceae,,"Chinese lantern tree, Marabou, marabou-thorn, Sickle bush","Africa, Asia Temperate, Asia Tropical, Australasia","Shrub, Tree",,Predictive Tool,27,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-11,0,
Dieffenbachia seguine ,Araceae,Dieffenbachia maculata,"Dumb cane, Spotted dumbcane","Central America, North America-Mexico, South America",Forb/Herb,1929,,N/A,,,,,1,
Digitaria abyssinica,Poaceae,"Digitaria scalarum, Digitaria vestita",African couchgrass,"Africa, Asia Tropical",Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Digitaria bicornis,Poaceae,,"Asia crabgrass, Asian crabgrass","Asia Temperate, Asia Tropical, Australasia",Graminoid,1929,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 8, 2016",23,
Digitaria velutina,Poaceae,,"velvet fingergrass, annual couchgrass","Africa, Asia Temperate",Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Dioscorea alata,Dioscoreaceae,,Winged yam,"Asia Temperate, Asia Tropical","Forb/Herb, Vine",1953,,14,High Invasion Risk,High Invasion Risk,High Invasion Risk,,31,
Dioscorea bulbifera,Dioscoreaceae,,Air potato,"Africa, Asia Temperate, Asia Tropical, Australasia",Vine,1931,,N/A,Prohibited,Prohibited,Prohibited,,51,
Dioscorea polystachya,Dioscoreaceae,"Dioscorea batatas, Dioscorea decaisneana, Dioscorea opposita","Chinese yam, cinnamon vine",Asia Temperate,"Forb/Herb, Vine",,Predictive Tool,12,High Invasion Risk,High Invasion Risk,High Invasion Risk,8-Aug-17,1,
Dioscorea sansibarensis,Dioscoreaceae,,"Stiff tipped air potato, Zanzibar yam",Africa,"Forb/Herb, Vine",1995,Status Assessment,9,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2007Jan 1, 2012Dec 12, 2016",2,
Dissotis rotundifolia,Melastomataceae,Heterotis rotundifolia,"Pinklady, Spanish shawl",Africa,Forb/Herb,1983,,N/A,,,,,0,
Distimake tuberosus,Convolvulaceae,Merremia tuberosa,"Spanish Arborvine, Wood Rose, Yellow Morning-Glory",Unknown,Vine,1891,Status Assessment,10,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2006Jan 1, 2012Jan 6, 2015",4,
Dolichandra unguis-cati,Bignoniaceae,"Macfadyena unguis-cati, Bignonia tweedieana, Bignonia unguis-cati, Doxantha unguis-cati",Cat's-Claw Vine,"Central America, North America-Mexico, South America",Vine,1958,Predictive Tool,18,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jan 1, 2012Mar 11, 2015",21,
Dracaena hyacinthoides,Ruscaceae,Sansevieria hyacinthoides,Bowstring Hemp,Africa,"Forb/Herb, Subshrub",1942,Status Assessment,N/A,Caution,Invasive (No Uses),Invasive (No Uses),"Jan 1, 2004Jan 1, 2011",17,
Dracaena marginata,Melastomataceae,,"Dragontree, Madagascar dragon-tree, Red-edged dracaena",Africa,Tree,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",0,
Drepanostachyum falcatum,Poaceae,Arundinaria falcata,Chinese goddess bamboo,Asia Tropical,Graminoid,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",0,
Drymaria arenarioides,Caryophyllaceae,,"Sandwort drymary, lightning weed",North America-Mexico,Forb/Herb,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Duranta erecta,Verbenaceae,,"Golden dewdrops, Pigeonberry, sky-flower","Central America, North America-Mexico, South America","Shrub, Tree",1963,,N/A,,,,,6,
Dyckia brevifolia,Bromeliaceae,,Sawblade,South America,Forb/Herb,1980,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",1,
Dypsis lutescens ,Arecaceae,Chrysalidocarpus lutescens,"Areca Palm, Yellow Butterfly Palm, Yellow Palm",Africa,Tree,1959,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2007Jan 1, 2012Dec 12, 2016",4,
Echinochloa crusgalli,Poaceae,Echinochloa crusgalli var frumentacea,"Barnyardgrass, Jungle rice","Africa, Asia Temperate, Asia Tropical, Australasia, Central America, Europe, North America-Mexico, Pacific, South America",Graminoid,1955,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",0,
Egeria densa,Hydrocharitaceae,,Brazilian waterweed,South America,Aquatic,1945,Status Assessment,N/A,Not a problem species (documented),Not a problem species (documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",17,
Eichhornia crassipes,Pontederiaceae,,Water-hyacinth,South America,Aquatic,1894,,N/A,Prohibited,Prohibited,Prohibited,,46,
Elaeagnus angustifolia,Elaeagnaceae,Elaeagnus angustifolia L. var. orientalis,"Russian olive, oleaster","Asia Temperate, Asia Tropical","Shrub, Tree",0,Predictive Tool,14,High Invasion Risk,High Invasion Risk,High Invasion Risk,19-Mar-18,0,
Elaeagnus pungens,Elaeagnaceae,,"Silverthorn, thorny elaeagnus, thorny olive",Asia Temperate,Shrub,1929,Status Assessment,N/A,Invasive,Invasive,Invasive,"Jan 1, 2004Jan 1, 2011Aug 19, 2014",13,
Elaeagnus umbellata,Elaeagnaceae,,"Autumn olive, Silverberry","Asia Temperate, Asia Tropical",Shrub,1958,Predictive Tool,19,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-11,3,
Elaeis guineensis,Arecaceae,,African oil palm,Africa,Tree,1969,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2007Mar 20, 2017",1,
Elettaria cardamomum,Zingiberaceae,Amomum cardamomum,Cardamom,Asia Tropical,Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",0,
Eleusine indica,Poaceae,,Indian Goosegrass,"Africa, Asia Temperate, Asia Tropical",Graminoid,1916,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012Dec 9, 2016",63,
Emex australis,Polygonaceae,,Southern threecornerjack,Africa,Forb/Herb,,,N/A,Prohibited,Prohibited,Prohibited,12-May-14,0,
Emex spinosa,Polygonaceae,,"Spiny threecornerjack, devil's thorn","Africa, Asia Temperate, Europe",Forb/Herb,1901,,N/A,Prohibited,Prohibited,Prohibited,12-May-14,1,
Emilia fosbergii,Asteraceae,,"Florida Tasselflower, Cupid's-shaving-brush",Unknown,Forb/Herb,1929,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012Dec 9, 2016",39,
Energycane L 79-1002 Sugarcane,Poaceae,,Energycane,Unknown,Graminoid,,Predictive Tool,-3,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-10,0,
Enterolobium contortisiliquum,Fabaceae,,"Earpod tree, pacara earpod tree",South America,Tree,1940,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",14,
Epipremnum pinnatum cv Aureum,Araceae,,"Centipede tongavine, golden pothos, pothos","Asia Temperate, Asia Tropical, Australasia, Pacific","Forb/Herb, Vine",1972,Status Assessment,N/A,Not a problem species (un-documented),Caution,Invasive,"Jan 1, 2004Jan 1, 2012",10,
Episcia cupreata,Gesneriaceae,,Flame violet,"Central America, South America",Forb/Herb,1969,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",0,
Eragrostis atrovirens,Poaceae,Poa atrovirens,Thalia lovegrass,"Africa, Asia Temperate, Asia Tropical",Graminoid,1942,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012Dec 12, 2016",32,
Eragrostis cummingii,Poaceae,,"Cuming's lovegrass, fortyflower lovegrass",Australasia,Graminoid,1897,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",0,
Eragrostis gangetica,Poaceae,Poa gangetica,Slimflower lovegrass,"Africa, Asia Tropical",Graminoid,1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,10,
Eranthemum pulchellum,Acanthaceae,"Eranthemum nervosum, Upudalia pulchella",Blue sage,Asia Tropical,Shrub,1942,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",1,
Eremochloa ophiuroides,Poaceae,Andropogon ophiuroides,Centipedegrass,"Asia Temperate, Asia Tropical",Graminoid,1942,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (un-documented),1-Jan-06,49,
Eriobotrya japonica,Rosaceae,Mespilus japonica,Loquat,Asia Temperate,Tree,1931,Status Assessment,N/A,Not a problem species (documented),Caution,Caution,"Jan 1, 2005Jan 1, 2012",16,
Eucalyptus amplifolia,Myrtaceae,,Cabbage Gum,Australasia,Tree,2005,Predictive Tool,-2,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2006Jan 1, 2012",0,
Eucalyptus benthamii,Myrtaceae,Eucalyptus dorrigoensis,Camden White Gum,Australasia,Tree,,Predictive Tool,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2011Jan 1, 2012",0,
Eucalyptus caesia,Myrtaceae,,Silver Princess,Australasia,Tree,,Predictive Tool,0,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus camaldulensis ,Myrtaceae,Eucalyptus rostrata,"Long-Beak Eucalyptus, Murray Red Gum, River Redgum Eucalyptus",Australasia,Tree,1963,Predictive Tool,19,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jan 1, 2012",0,
Eucalyptus cinerea,Myrtaceae,,"Argyle-Apple, Mealy Stringybark, Silver Dollar Tree",Australasia,Tree,2005,Predictive Tool,7,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-12,0,
Eucalyptus cloeziana,Myrtaceae,,"Cloeziana Gum, Dead-Finish, Gympie Messmate, Queensland Messmate, Yellow Messmate",Australasia,Tree,,Predictive Tool,1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus crebra,Myrtaceae,,"Grey Ironbark, Narrow-Leaf (Red) Ironbark, Red Ironbark, White Ironbark",Australasia,Tree,1965,Predictive Tool,6,Evaluate Further,Evaluate Further,Evaluate Further,1-Jan-12,0,
Eucalyptus deglupta,Myrtaceae,,"Deglupta, Kamarere, Mindanao Gum",Australasia,Tree,1994,Predictive Tool,8,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-12,0,
Eucalyptus dorrigoensis,Myrtaceae,,Dorrigo White Gum,Australasia,Tree,,Predictive Tool,-4,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus dunnii,Myrtaceae,,"Dunn's White Gum, Killarney Ash, Ribbon Gum, White Gum",Australasia,Tree,,Predictive Tool,-3,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus erythrocorys,Myrtaceae,,"Bookara Gum, Red-Cap Gum",Australasia,Tree,,Predictive Tool,1,Evaluate Further,Evaluate Further,Evaluate Further,1-Jan-12,0,
Eucalyptus gardneri,Myrtaceae,,"Blue Mallet, Blue-Leaf Mallet, Gardner's Mallet",Australasia,Tree,,Predictive Tool,1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus globulus,Myrtaceae,,"Blue Gum, Southern Blue Gum, Victorian Blue Gum",Australasia,Tree,1930,Predictive Tool,18,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-12,0,
Eucalyptus grandis,Myrtaceae,,"Grand Eucalyptus, Rose Gum Eucalyptus, Tooler Eucalyptus",Australasia,Tree,1969,Predictive Tool,9,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jan 1, 2012",4,
Eucalyptus grandis cv GF1,Myrtaceae,,No common name reported,Unknown,Tree,,Infraspecific Taxon Protocol,N/A,Invasive,Invasive,Invasive,"Jan 1, 2009Jan 1, 2012",0,
Eucalyptus grandis cv GF2,Myrtaceae,,No common name reported,Unknown,Tree,,Infraspecific Taxon Protocol,N/A,Invasive,Invasive,Invasive,"Jan 1, 2009Jan 1, 2012",0,
Eucalyptus grandis cv GF3,Myrtaceae,,No common name reported,Unknown,Tree,,Infraspecific Taxon Protocol,N/A,Invasive,Invasive,Invasive,"Jan 1, 2009Jan 1, 2012",0,
Eucalyptus grandis cv GF4,Myrtaceae,,No common name reported,Unknown,Tree,,Infraspecific Taxon Protocol,N/A,Invasive,Invasive,Invasive,"Jan 1, 2009Jan 1, 2012",0,
Eucalyptus grandis cv GF5,Myrtaceae,,No common name reported,Unknown,Tree,,Infraspecific Taxon Protocol,N/A,Invasive,Invasive,Invasive,"Jan 1, 2011Jan 1, 2012",0,
Eucalyptus gunnii,Myrtaceae,,"Cider Gum, Silver Eucalyptus",Australasia,Tree,,Predictive Tool,1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus intermedia ,Myrtaceae,Corymbia intermedia,"Pink Bloodwood, Red Bloodwood",Australasia,Tree,,Predictive Tool,5,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-12,0,
Eucalyptus kruseana,Myrtaceae,,"Book-Leaf Mallee, Kruse's Mallee",Australasia,Tree,,Predictive Tool,3,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus macarthurii,Myrtaceae,,"Camden Woollybutt, Paddy's River Box",Australasia,Tree,,Predictive Tool,5,Evaluate Further,Evaluate Further,Evaluate Further,"Jan 1, 2010Jan 1, 2012",0,
Eucalyptus macrocarpa,Myrtaceae,,"Bluebush, Desert Mallee, Mallee-Rose, Mottlecah, Rose-Of-The-West, Small-Leaf Mottlecah",Australasia,Tree,,Predictive Tool,3,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus microcorys,Myrtaceae,,Tallowwood,Australasia,Tree,,Predictive Tool,5,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus nitens,Myrtaceae,,"Ribbon Gum, Shinning Gum",Australasia,Tree,,Predictive Tool,0,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus paniculata,Myrtaceae,,"Black Ironbark, Grey Ironbark",Australasia,Tree,,Predictive Tool,7,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-12,0,
Eucalyptus pellita,Myrtaceae,,"Daintree Stringybark, Forest-Mahogany, Grey Gum, Red Gum",Australasia,Tree,,Predictive Tool,3,Evaluate Further,Evaluate Further,Evaluate Further,1-Jan-12,0,
Eucalyptus platypus,Myrtaceae,,"Moort, Round-Leaf Moort",Australasia,Tree,,Predictive Tool,1,Evaluate Further,Evaluate Further,Evaluate Further,1-Jan-12,0,
Eucalyptus robusta,Myrtaceae,,Swampmahogany,Australasia,Tree,1910,Predictive Tool,11,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jan 1, 2012",7,
Eucalyptus saligna,Myrtaceae,,"Blue Gum, Sydney Blue Gum",Australasia,Tree,,Predictive Tool,9,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-12,0,
Eucalyptus salubris,Myrtaceae,,"Fluted Gumtree, Gimlet Gum, Silver-Top Gimlet",Australasia,Tree,,Predictive Tool,-2,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus sideroxylon,Myrtaceae,,"Black Ironbark, Mugga Ironbark, Red Ironbark, Three-Fruit Red Ironbark",Australasia,Tree,,Predictive Tool,6,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus smithii,Myrtaceae,,"Blackbutt Peppermint, Gully Gum, Gully Peppermint, Gully-Ash",Australasia,Tree,,Predictive Tool,1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus stoatei,Myrtaceae,,"Pear Gum, Scarlet Pear Gum, Stoate Gum, Stoate's Moortm, Yellow Pea Gum",Australasia,Tree,,Predictive Tool,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus tereticornis,Myrtaceae,,"Bastard-Box, Blue Gum, Flooded Gum, Forest Red Gum, Grey Gum",Australasia,Tree,1998,Predictive Tool,10,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-12,0,
Eucalyptus torelliana,Myrtaceae,,"Cadaga, Torell's Eucalyptus",Australasia,Tree,1994,Predictive Tool,13,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jan 1, 2012",0,
Eucalyptus torquata,Myrtaceae,,"Christmastree, Coolgardie Gum, Coolgardie-Rose, Coral Gum, Coral-Flower Gum",Australasia,Tree,,Predictive Tool,4,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Eucalyptus urograndis,Myrtaceae,,No common name reported,Australasia,Tree,,Predictive Tool,3,Evaluate Further,Evaluate Further,Evaluate Further,"Jan 1, 2010Jan 1, 2012",0,
Eucalyptus urophylla,Myrtaceae,,"Timor Mountain Gum, Timor White Gum",Australasia,Tree,,Predictive Tool,7,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2010Jan 1, 2012",0,
Eucalyptus viminalis,Myrtaceae,,"Manna Gum, Ribbon Gum, Rough-Bark Manna Gum, White Gum",Australasia,Tree,2005,Predictive Tool,9,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-12,0,
Eucalyptus yarraensis,Myrtaceae,,Yarra Gum,Australasia,Tree,,Predictive Tool,4,Evaluate Further,Evaluate Further,Evaluate Further,1-Jan-12,0,
Eugenia uniflora,Myrtaceae,,Surinam cherry,South America,"Shrub, Tree",1893,Status Assessment,N/A,Caution,Caution,Invasive,"Jan 1, 2007Jan 1, 2012Dec 14, 2016",15,
Eulophia graminea,Orchidaceae,,"Beautiful Crown Orchid, Chinese crown orchid","Asia Temperate, Asia Tropical",Forb/Herb,2008,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2010Jan 1, 2012",11,
Euonymus fortunei,Celastraceae,,"Climbing euonymus, running strawberry bush","Asia Temperate, Asia Tropical",Shrub,1991,,N/A,,,,,0,
Euonymus fortunei var radicans,Celastraceae,,Winter creeper,Asia Temperate,"Shrub, Vine",,Predictive Tool,4,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",0,
Euonymus japonica,Celastraceae,,"Japanese euonymus, Japanese spindletree, spindle-tree",Asia Temperate,"Shrub, Tree",1979,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",0,
Euphorbia lactea,Euphorbiaceae,,Mottled spurge,Asia Tropical,"Shrub, Tree",,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",0,
Euphorbia milii,Euphorbiaceae,,"Christplant, crown-of-thorns",Africa,Shrub,1930,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",2,
Euphorbia pulcherrima,Euphorbiaceae,Poinsettia pulcherrima,"Christmas star, poinsettia","Central America, North America-Mexico","Shrub, Tree",1967,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",0,
Euphorbia tirucalli,Euphorbiaceae,,"Indian tree spurge, pencil bush, pencil tree, pencil-cactus",Africa,Tree,1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",4,
Euryops chrysanthemoides ,Asteraceae,Gamolepis chrysanthemoides,"African bushdaisy, bull's eye, daisy bush",Africa,Subshrub,1998,,N/A,,,,,1,
Evolvulus glomeratus subsp. grandiflorus,Convolvulaceae,,Blue daze,South America,"Forb/Herb, Subshrub",1980,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",1,
